PLAYER_NAME,DRAFT_NUMBER,active_cap,dead_cap,OWNER_NET_WORTH_B,Capacity,STADIUM_YEAR_OPENED,STADIUM_COST,Followers,Age,is_USA
James Johnson,0.5056407416721099,0.5535489590394524,0.5093227520681348,0.5277680025608777,0.49547615403966677,0.5230283485716921,0.508796828117753,0.48181256272091294,0.5873769806589375,0.4991192449430617
Jrue Holiday,0.5087661555727734,0.432822502154404,0.5053252742146012,0.5241993765066332,0.5160297357165825,0.5248699509144334,0.5087688756645902,0.5426310017658067,0.6318508970270286,0.495413752014502
Taj Gibson,0.5103350609067286,0.5936089854960948,0.506875401849612,0.5563591883413623,0.5115918738427769,0.47814420612802966,0.5088012116042829,0.548296555612231,0.7658179931515794,0.49228901824570587
Patty Mills,0.5317870886345548,0.47435819849677574,0.5097958156956013,0.4427716720884201,0.4881138447352366,0.4302639167957168,0.5095831957222204,0.571195249971823,0.7074201757517418,0.5629294884260752
Garrett Temple,0.5040896066008494,0.5880744436962536,0.5067799809376426,0.5288376200416816,0.5126414888012806,0.520059595418386,0.5089502247543198,0.5634689987110512,0.6862317440435155,0.5033574899655041
Paul George,0.507040915767491,0.4405152601611913,0.5119785567368695,0.4875410010734389,0.562441492102481,0.5468529888249876,0.5087466773335847,0.6634637591456498,0.7890648135322424,0.47566698845148997
Kyrie Irving,0.5042302531863775,0.5009576289296157,0.5095224537952167,0.47156437738572715,0.5187516864155999,0.5129064905038304,0.509055928874974,0.560377636243514,0.5881679047640913,0.5644589972840289
Tristan Thompson,0.5008626644423463,0.5109599008637244,0.5102372734703225,0.46748407349694593,0.5222727035559744,0.5617025875781092,0.5086602906166258,0.5526977706241808,0.5417393620765638,0.5513651059570259
Jonas Valančiūnas,0.5013513846341301,0.48877913625731134,0.5097755263489929,0.533855904281008,0.4907865980835641,0.4499249696277048,0.5090122486146933,0.5090620322038493,0.5936605550698989,0.5336980845797729
Bismack Biyombo,0.4987667939379671,0.5490653164915589,0.50864347708533,0.5575628602456648,0.49780582019899566,0.5162628408727948,0.5088018406986093,0.3778491113913982,0.6269813001156052,0.5557944918492859
Klay Thompson,0.5048067693576679,0.4591884923824022,0.5094943074218289,0.4625018151298912,0.5259027208671659,0.5070934122198275,0.5089595967858425,0.5972168713047543,0.7389594350905941,0.48933221263497345
Alec Burks,0.49561891086387244,0.5259703195569104,0.5087473894693714,0.49563229605085074,0.5324095639605287,0.5136946397861863,0.508800549525727,0.348815565776166,0.696653474417507,0.4928846010436152
Markieff Morris,0.5103574580656487,0.4726967660800002,0.5084711387537475,0.46504304562972637,0.5085970817992091,0.487884322875795,0.509000263701802,0.49792315985442176,0.5249334865175034,0.5033158729736593
Kawhi Leonard,0.5156909274163103,0.6785530304689756,0.51068656302165,0.3806663130845209,0.4748240468569218,0.28126072264765406,0.5111638784899001,0.18056937091498132,0.7808459133249438,0.48346440889944503
Nikola Vučević,0.510578550299884,0.5143054023398045,0.5075756728638808,0.5250374891877438,0.5480397714680504,0.5324492563955159,0.5087927664570486,0.3762291627641348,0.6232578100124682,0.5480241733240427
Tobias Harris,0.512188024966985,0.6847467814665652,0.5076252496337375,0.48550435299906186,0.5597386878207294,0.4369033647884879,0.5093653968319481,0.5044401020475644,0.6437627022798328,0.4883742792089375
