Player_Name,Salary
Clarke  Brandon Clarke,"$12,500,000"
Kennard  Luke Kennard,"$9,250,000"
Konchar  John Konchar,"$6,165,000"
Edey  Zach Edey,"$5,756,880"
Aldama  Santi Aldama,"$3,960,531"
Williams Jr.  Vincent Williams Jr.,"$2,120,693"
Huff  Jay Huff,"$2,088,033"
Pippen Jr.  Scotty Pippen Jr.,"$2,087,519"
Jackson  G.G. Jackson,"$1,891,857"
Wells  Jaylen Wells,"$1,157,153"
Stevens  Lamar Stevens,"$383,912"
Adebayo  Bam Adebayo,"$34,848,340"
Herro  Tyler Herro,"$29,000,000"
Wiggins  Andrew Wiggins,"$26,276,786"
Rozier  Terry Rozier,"$24,924,126"
Robinson  Duncan Robinson,"$19,406,000"
Anderson  Kyle Anderson,"$8,780,488"
Mitchell  Davion Mitchell,"$6,451,077"
Highsmith  Haywood Highsmith,"$5,200,000"
Ware  Kel'el Ware,"$4,231,800"
Love  Kevin Love,"$3,850,000"
Jaquez Jr.  Jaime Jaquez Jr.,"$3,685,800"
Jovic  Nikola Jovic,"$2,464,200"
Burks  Alec Burks,"$2,087,519"
Larsson  Pelle Larsson,"$1,157,153"
Johnson  Keshad Johnson,"$724,883"
Antetokounmpo  Giannis Antetokounmpo,"$48,787,676"
Lillard  Damian Lillard,"$48,787,676"
Kuzma  Kyle Kuzma,"$24,456,060"
Lopez  Brook Lopez,"$23,000,000"
Portis  Bobby Portis,"$12,578,286"
Connaughton  Pat Connaughton,"$9,423,869"
Porter Jr.  Kevin Porter Jr.,"$2,366,937"
Green  AJ Green,"$2,120,693"
Sims  Jericho Sims,"$2,092,344"
Prince  Taurean Prince,"$2,087,519"
Trent Jr.  Gary Trent Jr.,"$2,087,519"
Jackson Jr.  Andre Jackson Jr.,"$1,891,857"
Livingston  Chris Livingston,"$1,891,857"
Smith  Tyler Smith,"$1,157,153"
Rollins  Ryan Rollins,"$491,887"
Gobert  Rudy Gobert,"$43,827,586"
Edwards  Anthony Edwards,"$42,176,400"
Randle  Julius Randle,"$33,073,920"
McDaniels  Jaden McDaniels,"$22,586,207"
Reid  Naz Reid,"$13,986,432"
DiVincenzo  Donte DiVincenzo,"$11,445,000"
Conley  Mike Conley,"$9,975,962"
Dillingham  Rob Dillingham,"$6,262,920"
Alexander-Walker  Nickeil Alexander-Walker,"$4,312,500"
Shannon Jr.  Terrence Shannon Jr.,"$2,546,640"
Garza  Luka Garza,"$2,162,606"
Ingles  Joe Ingles,"$2,087,519"
Minott  Josh Minott,"$2,019,699"
Miller  Leonard Miller,"$1,891,857"
Clark  Jaylen Clark,"$492,323"
Williamson  Zion Williamson,"$36,725,670"
McCollum  C.J. McCollum,"$33,333,333"
Murray  Dejounte Murray,"$28,817,135"
Brown Jr.  Bruce Brown Jr.,"$23,000,000"
Jones  Herb Jones,"$12,976,362"
Olynyk  Kelly Olynyk,"$12,804,878"
Murphy III  Trey Murphy III,"$5,159,855"
Hawkins  Jordan Hawkins,"$4,525,680"
Missi  Yves Missi,"$3,193,200"
Robinson-Earl  Jeremiah Robinson-Earl,"$2,196,970"
Alvarado  Jose Alvarado,"$1,988,598"
Matkovic  Karlo Matkovic,"$1,407,153"
Reeves  Antonio Reeves,"$1,157,153"
Boston Jr  Brandon Boston Jr,"$596,581"
Payton  Elfrid Payton,"$51,527"
Towns  Karl-Anthony Towns,"$49,205,800"
Anunoby  OG Anunoby,"$36,637,932"
Brunson  Jalen Brunson,"$24,960,001"
Bridges  Mikal Bridges,"$23,300,000"
Hart  Josh Hart,"$18,144,000"
Robinson  Mitchell Robinson,"$14,318,182"
Achiuwa  Precious Achiuwa,"$6,000,000"
McBride  Miles McBride,"$4,710,144"
Payne  Cameron Payne,"$2,087,519"
Wright  Delon Wright,"$2,087,519"
Kolek  Tyler Kolek,"$2,087,519"
Dadiet  Pacome Dadiet,"$1,808,080"
Shamet  Landry Shamet,"$1,343,690"
Hukporti  Ariel Hukporti,"$1,064,049"
Tucker  P.J. Tucker,"$246,833"
Gilgeous-Alexander  Shai Gilgeous-Alexander,"$35,859,950"
